ApplicationId,ApplicantName,DateOfBirth,Gender,AadhaarNumber,Mobile,Email,PresentAddress,PermanentAddress,Division,SubDivision,PoliceStation,PassportType,ApplicationPriority,TravelPurpose,TravelCountry,ApplicationStatus,AssignedConstable,FieldVisitCompleted,CriminalRecord,FirLinked,CourtCasePending,LookoutNotice,RejectionReason,OfficerRemarks,VerificationDate
PV-2026-BAL-0011,"Rahul Verma",1983-02-10,Male,XXXX-XXXX-1444,9840095028,rahul.verma12@example.com,"#160, Main Road, Ballari","#160, Main Road, Ballari",Kalaburagi,Ballari,Gandhinagar PS,Tatkal,TATKAL,"Family Visit",Japan,VERIFIED,"HC Manjunatha S. (KSP-CON-2044)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BAL-0012,"Girish Bhat",1999-04-13,Male,XXXX-XXXX-1481,9840102947,girish.bhat13@example.com,"#175, Main Road, Ballari","#175, Main Road, Ballari",Kalaburagi,Ballari,Siruguppa PS,Fresh,NORMAL,"Work Visa (USA)",United States of America,VERIFIED,"PC Praveen Gowda (KSP-CON-5120)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BAL-0013,"Sunil Das",1973-06-16,Male,XXXX-XXXX-1518,9840110866,sunil.das14@example.com,"#190, Main Road, Ballari","#190, Main Road, Ballari",Kalaburagi,Ballari,Cowl Bazaar PS,Renewal,NORMAL,"Higher Studies (UK/Europe)",Germany,PENDING,"PC Chethan V. (KSP-CON-6245)",false,false,,false,false,,,
PV-2026-BAL-0014,"Raghavendra Nambiar",1989-08-19,Male,XXXX-XXXX-1555,9840118785,raghavendra.nambiar15@example.com,"#205, Main Road, Ballari","#205, Main Road, Ballari",Kalaburagi,Ballari,Brucepet PS,Fresh,NORMAL,"Employment (Gulf)",United Arab Emirates,PENDING,"PC Venkatesh G. (KSP-CON-5512)",false,false,,false,false,,,
PV-2026-BAL-0015,"Sachin Varma",2005-10-22,Male,XXXX-XXXX-1592,9840126704,sachin.varma16@example.com,"#220, Main Road, Ballari","#220, Main Road, Ballari",Kalaburagi,Ballari,Gandhinagar PS,Fresh,NORMAL,"Tourism",France,PENDING,"HC Basavaraj M. (KSP-CON-1890)",false,false,,false,false,,,
PV-2026-BAL-0016,"Rahul Verma",1979-12-25,Male,XXXX-XXXX-1629,9840134623,rahul.verma17@example.com,"#235, Main Road, Ballari","#235, Main Road, Ballari",Kalaburagi,Ballari,Siruguppa PS,Renewal,NORMAL,"Tourism",Australia,FIELD_VISIT_DONE,"HC Ramaiah B. (KSP-CON-4421)",true,false,,false,false,,,
PV-2026-BAL-0017,"Girish Bhat",1995-02-28,Male,XXXX-XXXX-1666,9840142542,girish.bhat18@example.com,"#250, Main Road, Ballari","#250, Main Road, Ballari",Kalaburagi,Ballari,Cowl Bazaar PS,Fresh,NORMAL,"Family Visit",Japan,FIELD_VISIT_DONE,"PC Suresh K. (KSP-CON-3189)",true,false,,false,false,,,
PV-2026-BAL-0018,"Sunil Das",1969-04-03,Male,XXXX-XXXX-1703,9840150461,sunil.das19@example.com,"#265, Main Road, Ballari","#265, Main Road, Ballari",Kalaburagi,Ballari,Brucepet PS,Tatkal,TATKAL,"Work Visa (USA)",United States of America,PENDING,"PC Anand Kumar T. (KSP-CON-7104)",false,false,,false,false,,,
PV-2026-BAL-0019,"Raghavendra Nambiar",1985-06-06,Male,XXXX-XXXX-1740,9840158380,raghavendra.nambiar20@example.com,"#280, Main Road, Ballari","#280, Main Road, Ballari",Kalaburagi,Ballari,Gandhinagar PS,Renewal,URGENT,"Higher Studies (UK/Europe)",Germany,FLAGGED,"PC Shivakumar N. (KSP-CON-6721)",true,true,FIR-2025-120/BAL,true,false,,"FLAGGED TO SPECIAL BRANCH / CID: Linked to FIR-2025-120/BAL. Case pending in jurisdictional court.",2026-06-15T11:20:00
PV-2026-BAL-0020,"Sachin Varma",2001-08-09,Male,XXXX-XXXX-1777,9840166299,sachin.varma21@example.com,"#295, Main Road, Ballari","#295, Main Road, Ballari",Kalaburagi,Ballari,Siruguppa PS,Fresh,NORMAL,"Employment (Gulf)",United Arab Emirates,REJECTED,"WHC Savitha D. (KSP-CON-3310)",true,false,,false,false,"Applicant failed to produce original documents during physical verification","Application rejected by Police Sub-Inspector. Reason: Applicant failed to produce original documents during physical verification",2026-05-10T16:00:00
PV-2026-BID-0021,"Venkatesh Shetty",1999-06-08,Male,XXXX-XXXX-1814,9840174218,venkatesh.shetty22@example.com,"#10, Main Road, Bidar","#10, Main Road, Bidar",Kalaburagi,Bidar,Bidar Town PS,Tatkal,TATKAL,"Family Visit",Japan,VERIFIED,"HC Manjunatha S. (KSP-CON-2044)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BID-0022,"Suresh Kumar",1973-08-11,Male,XXXX-XXXX-1851,9840182137,suresh.kumar23@example.com,"#25, Main Road, Bidar","#25, Main Road, Bidar",Kalaburagi,Bidar,Gandhi Gunj PS,Fresh,NORMAL,"Work Visa (USA)",United States of America,VERIFIED,"PC Praveen Gowda (KSP-CON-5120)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BID-0023,"Vijay Iyengar",1989-10-14,Male,XXXX-XXXX-1888,9840190056,vijay.iyengar24@example.com,"#40, Main Road, Bidar","#40, Main Road, Bidar",Kalaburagi,Bidar,Humnabad PS,Fresh,NORMAL,"Higher Studies (UK/Europe)",Germany,VERIFIED,"PC Chethan V. (KSP-CON-6245)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BID-0024,"Sanjay Nayak",2005-12-17,Male,XXXX-XXXX-1925,9840197975,sanjay.nayak25@example.com,"#55, Main Road, Bidar","#55, Main Road, Bidar",Kalaburagi,Bidar,Bhalki PS,Renewal,NORMAL,"Employment (Gulf)",United Arab Emirates,VERIFIED,"PC Venkatesh G. (KSP-CON-5512)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BID-0025,"Deepak Choudhury",1979-02-20,Male,XXXX-XXXX-1962,9840205894,deepak.choudhury26@example.com,"#70, Main Road, Bidar","#70, Main Road, Bidar",Kalaburagi,Bidar,Bidar Town PS,Fresh,NORMAL,"Tourism",France,VERIFIED,"HC Basavaraj M. (KSP-CON-1890)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BID-0026,"Venkatesh Shetty",1995-04-23,Male,XXXX-XXXX-1999,9840213813,venkatesh.shetty27@example.com,"#85, Main Road, Bidar","#85, Main Road, Bidar",Kalaburagi,Bidar,Gandhi Gunj PS,Tatkal,TATKAL,"Tourism",Australia,VERIFIED,"HC Ramaiah B. (KSP-CON-4421)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BID-0027,"Suresh Kumar",1969-06-26,Male,XXXX-XXXX-2036,9840221732,suresh.kumar28@example.com,"#100, Main Road, Bidar","#100, Main Road, Bidar",Kalaburagi,Bidar,Humnabad PS,Renewal,NORMAL,"Family Visit",Japan,VERIFIED,"PC Suresh K. (KSP-CON-3189)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BID-0028,"Vijay Iyengar",1985-08-01,Male,XXXX-XXXX-2073,9840229651,vijay.iyengar29@example.com,"#115, Main Road, Bidar","#115, Main Road, Bidar",Kalaburagi,Bidar,Bhalki PS,Fresh,URGENT,"Work Visa (USA)",United States of America,VERIFIED,"PC Anand Kumar T. (KSP-CON-7104)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BID-0029,"Sanjay Nayak",2001-10-04,Male,XXXX-XXXX-2110,9840237570,sanjay.nayak30@example.com,"#130, Main Road, Bidar","#130, Main Road, Bidar",Kalaburagi,Bidar,Bidar Town PS,Fresh,NORMAL,"Higher Studies (UK/Europe)",Germany,VERIFIED,"PC Shivakumar N. (KSP-CON-6721)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BID-0030,"Deepak Choudhury",1975-12-07,Male,XXXX-XXXX-2147,9840245489,deepak.choudhury31@example.com,"#145, Main Road, Bidar","#145, Main Road, Bidar",Kalaburagi,Bidar,Gandhi Gunj PS,Renewal,NORMAL,"Employment (Gulf)",United Arab Emirates,VERIFIED,"WHC Savitha D. (KSP-CON-3310)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BID-0031,"Venkatesh Shetty",1991-02-10,Male,XXXX-XXXX-2184,9840253408,venkatesh.shetty32@example.com,"#160, Main Road, Bidar","#160, Main Road, Bidar",Kalaburagi,Bidar,Humnabad PS,Tatkal,TATKAL,"Tourism",France,VERIFIED,"HC Mallikarjun K. (KSP-CON-1678)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BID-0032,"Suresh Kumar",1965-04-13,Male,XXXX-XXXX-2221,9840261327,suresh.kumar33@example.com,"#175, Main Road, Bidar","#175, Main Road, Bidar",Kalaburagi,Bidar,Bhalki PS,Fresh,NORMAL,"Tourism",Australia,VERIFIED,"HC Raghavendra P. (KSP-CON-2987)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BID-0033,"Vijay Iyengar",1981-06-16,Male,XXXX-XXXX-2258,9840269246,vijay.iyengar34@example.com,"#190, Main Road, Bidar","#190, Main Road, Bidar",Kalaburagi,Bidar,Bidar Town PS,Renewal,NORMAL,"Family Visit",Japan,PENDING,"PC Ningappa H. (KSP-CON-8032)",false,false,,false,false,,,
PV-2026-BID-0034,"Sanjay Nayak",1997-08-19,Male,XXXX-XXXX-2295,9840277165,sanjay.nayak35@example.com,"#205, Main Road, Bidar","#205, Main Road, Bidar",Kalaburagi,Bidar,Gandhi Gunj PS,Fresh,NORMAL,"Work Visa (USA)",United States of America,PENDING,"WHC Renuka B. (KSP-CON-3891)",false,false,,false,false,,,
PV-2026-BID-0035,"Deepak Choudhury",1971-10-22,Male,XXXX-XXXX-2332,9840285084,deepak.choudhury36@example.com,"#220, Main Road, Bidar","#220, Main Road, Bidar",Kalaburagi,Bidar,Humnabad PS,Fresh,NORMAL,"Higher Studies (UK/Europe)",Germany,PENDING,"WPC Geetha R. (KSP-CON-4902)",false,false,,false,false,,,
PV-2026-BID-0036,"Venkatesh Shetty",1987-12-25,Male,XXXX-XXXX-2369,9840293003,venkatesh.shetty37@example.com,"#235, Main Road, Bidar","#235, Main Road, Bidar",Kalaburagi,Bidar,Bhalki PS,Renewal,NORMAL,"Employment (Gulf)",United Arab Emirates,FIELD_VISIT_DONE,"HC Manjunatha S. (KSP-CON-2044)",true,false,,false,false,,,
PV-2026-BID-0037,"Suresh Kumar",2003-02-28,Male,XXXX-XXXX-2406,9840300922,suresh.kumar38@example.com,"#250, Main Road, Bidar","#250, Main Road, Bidar",Kalaburagi,Bidar,Bidar Town PS,Fresh,NORMAL,"Tourism",France,FIELD_VISIT_DONE,"PC Praveen Gowda (KSP-CON-5120)",true,false,,false,false,,,
PV-2026-BID-0038,"Vijay Iyengar",1977-04-03,Male,XXXX-XXXX-2443,9840308841,vijay.iyengar39@example.com,"#265, Main Road, Bidar","#265, Main Road, Bidar",Kalaburagi,Bidar,Gandhi Gunj PS,Tatkal,TATKAL,"Tourism",Australia,PENDING,"PC Chethan V. (KSP-CON-6245)",false,false,,false,false,,,
PV-2026-BID-0039,"Sanjay Nayak",1993-06-06,Male,XXXX-XXXX-2480,9840316760,sanjay.nayak40@example.com,"#280, Main Road, Bidar","#280, Main Road, Bidar",Kalaburagi,Bidar,Humnabad PS,Renewal,URGENT,"Family Visit",Japan,FLAGGED,"PC Venkatesh G. (KSP-CON-5512)",true,true,FIR-2025-140/BID,true,false,,"FLAGGED TO SPECIAL BRANCH / CID: Linked to FIR-2025-140/BID. Case pending in jurisdictional court.",2026-06-15T11:20:00
PV-2026-BID-0040,"Deepak Choudhury",1967-08-09,Male,XXXX-XXXX-2517,9840324679,deepak.choudhury41@example.com,"#295, Main Road, Bidar","#295, Main Road, Bidar",Kalaburagi,Bidar,Bhalki PS,Fresh,NORMAL,"Work Visa (USA)",United States of America,REJECTED,"HC Basavaraj M. (KSP-CON-1890)",true,false,,false,false,"Adverse report: Ongoing criminal investigation and FIR pending","Application rejected by Police Sub-Inspector. Reason: Adverse report: Ongoing criminal investigation and FIR pending",2026-05-10T16:00:00
PV-2026-KAL-0041,"Rahul Rao",1965-06-08,Male,XXXX-XXXX-2554,9840332598,rahul.rao42@example.com,"#10, Main Road, Kalaburagi District","#10, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Brahampur PS,Tatkal,TATKAL,"Tourism",France,VERIFIED,"HC Mallikarjun K. (KSP-CON-1678)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-KAL-0042,"Girish Shekhar",1981-08-11,Male,XXXX-XXXX-2591,9840340517,girish.shekhar43@example.com,"#25, Main Road, Kalaburagi District","#25, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Station Bazaar PS,Fresh,NORMAL,"Tourism",Australia,VERIFIED,"HC Raghavendra P. (KSP-CON-2987)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-KAL-0043,"Sunil Joshi",1997-10-14,Male,XXXX-XXXX-2628,9840348436,sunil.joshi44@example.com,"#40, Main Road, Kalaburagi District","#40, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Sedam PS,Fresh,NORMAL,"Family Visit",Japan,VERIFIED,"PC Ningappa H. (KSP-CON-8032)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-KAL-0044,"Raghavendra Pillai",1971-12-17,Male,XXXX-XXXX-2665,9840356355,raghavendra.pillai45@example.com,"#55, Main Road, Kalaburagi District","#55, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Aland PS,Renewal,NORMAL,"Work Visa (USA)",United States of America,VERIFIED,"WHC Renuka B. (KSP-CON-3891)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-KAL-0045,"Sachin Gowda",1987-02-20,Male,XXXX-XXXX-2702,9840364274,sachin.gowda46@example.com,"#70, Main Road, Kalaburagi District","#70, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Brahampur PS,Fresh,NORMAL,"Higher Studies (UK/Europe)",Germany,VERIFIED,"WPC Geetha R. (KSP-CON-4902)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-KAL-0046,"Rahul Rao",2003-04-23,Male,XXXX-XXXX-2739,9840372193,rahul.rao47@example.com,"#85, Main Road, Kalaburagi District","#85, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Station Bazaar PS,Tatkal,TATKAL,"Employment (Gulf)",United Arab Emirates,VERIFIED,"HC Manjunatha S. (KSP-CON-2044)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-KAL-0047,"Girish Shekhar",1977-06-26,Male,XXXX-XXXX-2776,9840380112,girish.shekhar48@example.com,"#100, Main Road, Kalaburagi District","#100, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Sedam PS,Renewal,NORMAL,"Tourism",France,VERIFIED,"PC Praveen Gowda (KSP-CON-5120)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-KAL-0048,"Sunil Joshi",1993-08-01,Male,XXXX-XXXX-2813,9840388031,sunil.joshi49@example.com,"#115, Main Road, Kalaburagi District","#115, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Aland PS,Fresh,URGENT,"Tourism",Australia,VERIFIED,"PC Chethan V. (KSP-CON-6245)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-KAL-0049,"Raghavendra Pillai",1967-10-04,Male,XXXX-XXXX-2850,9840395950,raghavendra.pillai50@example.com,"#130, Main Road, Kalaburagi District","#130, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Brahampur PS,Fresh,NORMAL,"Family Visit",Japan,VERIFIED,"PC Venkatesh G. (KSP-CON-5512)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-KAL-0050,"Sachin Gowda",1983-12-07,Male,XXXX-XXXX-2887,9840403869,sachin.gowda51@example.com,"#145, Main Road, Kalaburagi District","#145, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Station Bazaar PS,Renewal,NORMAL,"Work Visa (USA)",United States of America,VERIFIED,"HC Basavaraj M. (KSP-CON-1890)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-KAL-0051,"Rahul Rao",1999-02-10,Male,XXXX-XXXX-2924,9840411788,rahul.rao52@example.com,"#160, Main Road, Kalaburagi District","#160, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Sedam PS,Tatkal,TATKAL,"Higher Studies (UK/Europe)",Germany,VERIFIED,"HC Ramaiah B. (KSP-CON-4421)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-KAL-0052,"Girish Shekhar",1973-04-13,Male,XXXX-XXXX-2961,9840419707,girish.shekhar53@example.com,"#175, Main Road, Kalaburagi District","#175, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Aland PS,Fresh,NORMAL,"Employment (Gulf)",United Arab Emirates,VERIFIED,"PC Suresh K. (KSP-CON-3189)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-KAL-0053,"Sunil Joshi",1989-06-16,Male,XXXX-XXXX-2998,9840427626,sunil.joshi54@example.com,"#190, Main Road, Kalaburagi District","#190, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Brahampur PS,Renewal,NORMAL,"Tourism",France,PENDING,"PC Anand Kumar T. (KSP-CON-7104)",false,false,,false,false,,,
PV-2026-KAL-0054,"Raghavendra Pillai",2005-08-19,Male,XXXX-XXXX-3035,9840435545,raghavendra.pillai55@example.com,"#205, Main Road, Kalaburagi District","#205, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Station Bazaar PS,Fresh,NORMAL,"Tourism",Australia,PENDING,"PC Shivakumar N. (KSP-CON-6721)",false,false,,false,false,,,
PV-2026-KAL-0055,"Sachin Gowda",1979-10-22,Male,XXXX-XXXX-3072,9840443464,sachin.gowda56@example.com,"#220, Main Road, Kalaburagi District","#220, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Sedam PS,Fresh,NORMAL,"Family Visit",Japan,PENDING,"WHC Savitha D. (KSP-CON-3310)",false,false,,false,false,,,
PV-2026-KAL-0056,"Rahul Rao",1995-12-25,Male,XXXX-XXXX-3109,9840451383,rahul.rao57@example.com,"#235, Main Road, Kalaburagi District","#235, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Aland PS,Renewal,NORMAL,"Work Visa (USA)",United States of America,FIELD_VISIT_DONE,"HC Mallikarjun K. (KSP-CON-1678)",true,false,,false,false,,,
PV-2026-KAL-0057,"Girish Shekhar",1969-02-28,Male,XXXX-XXXX-3146,9840459302,girish.shekhar58@example.com,"#250, Main Road, Kalaburagi District","#250, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Brahampur PS,Fresh,NORMAL,"Higher Studies (UK/Europe)",Germany,FIELD_VISIT_DONE,"HC Raghavendra P. (KSP-CON-2987)",true,false,,false,false,,,
PV-2026-KAL-0058,"Sunil Joshi",1985-04-03,Male,XXXX-XXXX-3183,9840467221,sunil.joshi59@example.com,"#265, Main Road, Kalaburagi District","#265, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Station Bazaar PS,Tatkal,TATKAL,"Employment (Gulf)",United Arab Emirates,PENDING,"PC Ningappa H. (KSP-CON-8032)",false,false,,false,false,,,
PV-2026-KAL-0059,"Raghavendra Pillai",2001-06-06,Male,XXXX-XXXX-3220,9840475140,raghavendra.pillai60@example.com,"#280, Main Road, Kalaburagi District","#280, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Sedam PS,Renewal,URGENT,"Tourism",France,FLAGGED,"WHC Renuka B. (KSP-CON-3891)",true,true,FIR-2025-160/KAL,true,false,,"FLAGGED TO SPECIAL BRANCH / CID: Linked to FIR-2025-160/KAL. Case pending in jurisdictional court.",2026-06-15T11:20:00
PV-2026-KAL-0060,"Sachin Gowda",1975-08-09,Male,XXXX-XXXX-3257,9840483059,sachin.gowda61@example.com,"#295, Main Road, Kalaburagi District","#295, Main Road, Kalaburagi District",Kalaburagi,Kalaburagi District,Aland PS,Fresh,NORMAL,"Tourism",Australia,REJECTED,"WPC Geetha R. (KSP-CON-4902)",true,false,,false,false,"Address proof submitted found forged or non-verifiable","Application rejected by Police Sub-Inspector. Reason: Address proof submitted found forged or non-verifiable",2026-05-10T16:00:00
PV-2026-KOP-0061,"Venkatesh Verma",1973-06-08,Male,XXXX-XXXX-3294,9840490978,venkatesh.verma62@example.com,"#10, Main Road, Koppal","#10, Main Road, Koppal",Kalaburagi,Koppal,Koppal Town PS,Tatkal,TATKAL,"Higher Studies (UK/Europe)",Germany,VERIFIED,"HC Ramaiah B. (KSP-CON-4421)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
